Fecha,SKU_ID,CEDI,Ventas_Unidades,Stock_Actual,Lead_Time_Dias,Promocion_Activa,Precio_Combustible_MXN,Clima,Costo_Quiebre_Stock_Diario,Costo_Transferencia_Unidad,ventas_log,ventas_lag_1,ventas_lag_7,ventas_media_7d,ventas_std_7d,dias_cobertura,promo_x_ventas,leadtime_x_ventas,clima_encoded,target_demanda_7d
2024-03-08,HZ-Atun-Agua-140g,CEDI_Bajio,101,1362,5,1,23.8,Lluvia,8000,11.61,4.624972813284271,106.0,103.0,98.28571428571429,7.674943772091226,13.352941176470589,101,505,0.0,651.0
2024-03-09,HZ-Atun-Agua-140g,CEDI_Bajio,83,243,5,1,23.82,Lluvia,8000,9.52,4.430816798843313,101.0,92.0,98.0,7.505553499465135,2.892857142857143,83,415,0.0,673.0
2024-03-10,HZ-Atun-Agua-140g,CEDI_Bajio,84,1425,5,0,23.45,Despejado,8000,10.47,4.442651256490317,83.0,84.0,96.71428571428571,9.268482179125225,16.764705882352942,0,420,0.0,686.0
2024-03-11,HZ-Atun-Agua-140g,CEDI_Bajio,85,603,5,1,23.13,Despejado,8000,11.37,4.454347296253507,84.0,103.0,96.71428571428571,9.268482179125225,7.011627906976744,85,425,0.0,714.0
2024-03-12,HZ-Atun-Agua-140g,CEDI_Bajio,105,1763,5,0,23.44,Despejado,8000,11.49,4.663439094112067,85.0,100.0,94.14285714285714,9.719886340703292,16.632075471698112,0,525,0.0,715.0
2024-03-13,HZ-Atun-Agua-140g,CEDI_Bajio,85,1103,5,1,24.14,Despejado,8000,11.17,4.454347296253507,105.0,100.0,94.85714285714286,10.383136511166738,12.825581395348838,85,425,0.0,720.0
2024-03-14,HZ-Atun-Agua-140g,CEDI_Bajio,104,70,5,0,22.94,Despejado,8000,11.07,4.653960350157523,85.0,106.0,92.71428571428571,10.688222267435084,0.6666666666666666,0,520,0.0,722.0
2024-03-15,HZ-Atun-Agua-140g,CEDI_Bajio,105,985,5,0,23.04,Despejado,8000,11.0,4.663439094112067,104.0,101.0,92.42857142857143,10.293317295817749,9.29245283018868,0,525,0.0,714.0
2024-03-16,HZ-Atun-Agua-140g,CEDI_Bajio,105,651,5,1,23.26,Despejado,8000,10.65,4.663439094112067,105.0,83.0,93.0,10.939226054281288,6.1415094339622645,105,525,0.0,712.0
2024-03-17,HZ-Atun-Agua-140g,CEDI_Bajio,97,706,5,0,24.33,Despejado,8000,12.06,4.584967478670572,105.0,84.0,96.14285714285714,10.74598485371119,7.204081632653061,0,485,0.0,707.0
2024-03-18,HZ-Atun-Agua-140g,CEDI_Bajio,113,1923,5,1,23.93,Despejado,8000,10.36,4.736198448394496,97.0,85.0,98.0,9.327379053088805,16.86842105263158,113,565,0.0,710.0
