Fecha,SKU_ID,CEDI,Ventas_Unidades,Stock_Actual,Lead_Time_Dias,Promocion_Activa,Precio_Combustible_MXN,Clima,Costo_Quiebre_Stock_Diario,Costo_Transferencia_Unidad
2024-03-01,HZ-Salsa-Verde-200g,CEDI_Norte,195,1180,3,0,22.9,Despejado,15000,12.64
2024-03-01,HZ-Salsa-Verde-200g,CEDI_Sur,198,921,5,0,23.27,Despejado,15000,11.04
2024-03-01,HZ-Salsa-Verde-200g,CEDI_Occidente,185,71,5,0,23.51,Despejado,15000,10.07
2024-03-01,HZ-Salsa-Verde-200g,CEDI_Bajio,188,1007,5,0,24.78,Despejado,15000,10.89
2024-03-01,HZ-Salsa-Roja-200g,CEDI_Norte,204,216,3,0,23.55,Despejado,15000,11.16
2024-03-01,HZ-Salsa-Roja-200g,CEDI_Sur,189,1501,5,0,23.91,Despejado,15000,9.28
2024-03-01,HZ-Salsa-Roja-200g,CEDI_Occidente,201,1895,5,0,23.41,Despejado,15000,11.7
2024-03-01,HZ-Salsa-Roja-200g,CEDI_Bajio,226,1344,5,0,23.0,Despejado,15000,8.92
2024-03-01,HZ-Mole-Poblano-250g,CEDI_Norte,111,813,3,0,23.02,Despejado,8000,9.45
2024-03-01,HZ-Mole-Poblano-250g,CEDI_Sur,97,1136,5,0,24.02,Lluvia,8000,11.43
2024-03-01,HZ-Mole-Poblano-250g,CEDI_Occidente,82,90,5,1,23.42,Despejado,8000,11.66
2024-03-01,HZ-Mole-Poblano-250g,CEDI_Bajio,96,854,5,0,23.92,Despejado,8000,10.8
2024-03-01,HZ-Atun-Agua-140g,CEDI_Norte,86,1842,3,0,23.11,Despejado,8000,9.66
2024-03-01,HZ-Atun-Agua-140g,CEDI_Sur,106,941,5,0,23.54,Despejado,8000,10.2
2024-03-01,HZ-Atun-Agua-140g,CEDI_Occidente,100,1480,5,0,22.79,Tormenta,8000,10.69
2024-03-01,HZ-Atun-Agua-140g,CEDI_Bajio,103,1869,5,1,23.75,Lluvia,8000,11.66
2024-03-01,HZ-Champiñones-380g,CEDI_Norte,110,1871,3,1,23.11,Despejado,8000,10.14
2024-03-01,HZ-Champiñones-380g,CEDI_Sur,116,1356,5,0,23.65,Despejado,8000,10.76
2024-03-01,HZ-Champiñones-380g,CEDI_Occidente,100,1750,5,0,23.05,Despejado,8000,9.68
2024-03-01,HZ-Champiñones-380g,CEDI_Bajio,91,1765,5,0,23.49,Despejado,8000,8.83
2024-03-02,HZ-Salsa-Verde-200g,CEDI_Norte,191,162,3,1,23.28,Despejado,15000,10.42
2024-03-02,HZ-Salsa-Verde-200g,CEDI_Sur,205,1126,5,0,24.07,Despejado,15000,11.25
2024-03-02,HZ-Salsa-Verde-200g,CEDI_Occidente,210,933,5,1,24.11,Lluvia,15000,10.11
2024-03-02,HZ-Salsa-Verde-200g,CEDI_Bajio,183,513,5,0,24.35,Despejado,15000,11.37
2024-03-02,HZ-Salsa-Roja-200g,CEDI_Norte,200,913,3,0,23.43,Despejado,15000,11.12
2024-03-02,HZ-Salsa-Roja-200g,CEDI_Sur,216,522,5,0,24.44,Despejado,15000,10.9
2024-03-02,HZ-Salsa-Roja-200g,CEDI_Occidente,201,946,5,0,22.78,Despejado,15000,11.69
2024-03-02,HZ-Salsa-Roja-200g,CEDI_Bajio,220,1993,5,1,23.93,Despejado,15000,12.29
2024-03-02,HZ-Mole-Poblano-250g,CEDI_Norte,93,1779,3,0,22.9,Lluvia,8000,11.16
2024-03-02,HZ-Mole-Poblano-250g,CEDI_Sur,92,1989,5,0,23.93,Despejado,8000,11.46
2024-03-02,HZ-Mole-Poblano-250g,CEDI_Occidente,101,519,5,0,23.94,Despejado,8000,10.26
2024-03-02,HZ-Mole-Poblano-250g,CEDI_Bajio,109,333,5,0,23.31,Despejado,8000,11.0
2024-03-02,HZ-Atun-Agua-140g,CEDI_Norte,102,1585,3,0,23.39,Despejado,8000,11.21
